19:25:29.008 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
19:25:29.008 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(716x465)
19:25:29.008 INFO   - BackgroundStateNone::setCurveSelected
19:25:29.008 INFO   - BackgroundStateOriginal::setCurveSelected
19:25:29.008 INFO   - BackgroundStateUnloaded::setCurveSelected
19:25:29.008 INFO   - MainWindow::updateGridLines
19:25:29.042 INFO   - GraphicsScene::updateAfterCommand
19:25:29.042 INFO   - GraphicsLinesForCurves::updateHighlightOpacity highlightOpacity=0.35
19:25:29.042 INFO   - GraphicsScene::updateCurves
19:25:29.042 INFO   - Document::curvesGraphsNames
19:25:29.042 INFO   - CoordSystemContext::curvesGraphsNames
19:25:29.042 INFO   - GraphicsLinesForCurves::addRemoveCurves curveCount=0
19:25:29.042 INFO   - GraphicsScene::updatePointMembership
19:25:29.042 INFO   - GraphicsLinesForCurves::lineMembershipReset
19:25:29.042 INFO   - GraphicsLinesForCurve::lineMembershipReset curve=Curve1
19:25:29.042 INFO   - GraphicsLinesForCurve::lineMembershipReset curve=Axes
19:25:29.042 INFO   - Document::iterateThroughCurvePointsAxes
19:25:29.042 INFO   - CoordSystemContext::iterateThroughCurvePointsAxes
19:25:29.042 INFO   - Document::iterateThroughCurvesPointsGraphs
19:25:29.042 INFO   - CoordSystemContext::iterateThroughCurvesPointsGraphs
19:25:29.042 INFO   - GraphicsLinesForCurves::lineMembershipPurge
19:25:29.042 INFO   - GraphicsLinesForCurve::lineMembershipPurge curve=Curve1
19:25:29.042 INFO   - GraphicsLinesForCurve::updateGraphicsLinesToMatchGraphicsPoints numberPoints=0 ordinalRenumbering=false
19:25:29.042 INFO   - GraphicsLinesForCurve::drawLinesStraight curve=Curve1
19:25:29.042 INFO   - GraphicsLinesForCurve::lineMembershipPurge curve=Axes
19:25:29.043 INFO   - GraphicsLinesForCurve::updateGraphicsLinesToMatchGraphicsPoints numberPoints=0 ordinalRenumbering=false
19:25:29.043 INFO   - DigitizeStateEmpty::updateAfterPointAddition
19:25:29.043 INFO   - MainWindow::updateControls selectedItems=0
19:25:29.043 INFO   - CmdStackShadow::canRedo
19:25:29.043 INFO   - MainWindow::updateChecklistGuide
19:25:29.043 INFO   - ChecklistGuide::update
19:25:29.043 INFO   - ChecklistGuideBrowser::update
19:25:29.043 INFO   - ChecklistGuideBrowser::repopulateCheckedTags
19:25:29.043 INFO   - Document::curveAxes
19:25:29.043 INFO   - CoordSystemContext::curveAxes
19:25:29.043 INFO   - Document::curveAxes
19:25:29.043 INFO   - CoordSystemContext::curveAxes
19:25:29.043 INFO   - Document::curveAxes
19:25:29.043 INFO   - CoordSystemContext::curveAxes
19:25:29.043 INFO   - ChecklistGuideBrowser::refresh
19:25:29.043 INFO   - ChecklistGuideBrowser::processAhrefs
19:25:29.043 INFO   - ChecklistGuideBrowser::bindToDocument
19:25:29.043 INFO   - ChecklistGuideBrowser::bindToDocument
19:25:29.043 INFO   - ChecklistGuideBrowser::bindToDocument
19:25:29.043 INFO   - ChecklistGuideBrowser::bindToDocument
19:25:29.043 INFO   - ChecklistGuideBrowser::bindToDocument
19:25:29.043 INFO   - ChecklistGuideBrowser::processCheckboxes
19:25:29.043 INFO   - ChecklistGuideBrowser::check
19:25:29.043 INFO   - ChecklistGuideBrowser::check
19:25:29.043 INFO   - ChecklistGuideBrowser::check
19:25:29.043 INFO   - ChecklistGuideBrowser::check
19:25:29.043 INFO   - ChecklistGuideBrowser::check
19:25:29.043 INFO   - ChecklistGuideBrowser::processDivs
19:25:29.043 INFO   - ChecklistGuideBrowser::divShow anchor=
19:25:29.043 INFO   - ChecklistGuideBrowser::divHide anchor=BACKGROUND
19:25:29.043 INFO   - ChecklistGuideBrowser::divHide anchor=AXIS1
19:25:29.043 INFO   - ChecklistGuideBrowser::divHide anchor=AXIS2
19:25:29.044 INFO   - ChecklistGuideBrowser::divHide anchor=AXIS3
19:25:29.044 INFO   - ChecklistGuideBrowser::divHide anchor=EXPORT
19:25:29.044 INFO   - MainWindow::updateFittingWindow
19:25:29.044 INFO   - FittingWindow::update
19:25:29.044 INFO   - FittingWindow::resizeTable
19:25:29.044 INFO   - MainWindow::slotFittingWindowCurveFit order=9
19:25:29.044 INFO   - MainWindow::updateGeometryWindow
19:25:29.044 INFO   - GeometryWindow::update
19:25:29.044 INFO   - Document::curveForCurveName
19:25:29.044 INFO   - CoordSystemContext::curveForCurveName
19:25:29.044 INFO   - GeometryWindow::resizeTable
19:25:29.044 INFO   - CoordSystemContext::printStream
19:25:29.045 INFO   - Document::coordSystemCount
19:25:29.045 INFO   - ChecklistGuidePageIntro::ChecklistGuidePageIntro
19:25:29.045 INFO   - ChecklistGuidePage::addHtml
19:25:29.046 INFO   - ChecklistGuideWizard::pageCurvesTitle
